[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
p,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
b,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɸ,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
β,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
f,consonant,labial,NA,NA,labiodental,unrounded,NA,NA,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
v,consonant,labial,NA,NA,labiodental,unrounded,NA,NA,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
m,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
m̥,consonant,labial,NA,NA,bilabial,unrounded,NA,NA,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
pʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
bʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɸʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
βʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
fʷ,consonant,labial,NA,NA,labiodental,rounded,NA,NA,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
vʷ,consonant,labial,NA,NA,labiodental,rounded,NA,NA,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
mʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,nasal stop,voiced,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
m̥ʷ,consonant,labial,NA,NA,bilabial,rounded,NA,NA,NA,NA,NA,nasal stop,voiceless,sonorant,contoid,occlusive,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
pʲ,consonant,labial,dorsal,coronal,bilabial,unrounded,posterior,laminal,front,hiɡh,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
bʲ,consonant,labial,dorsal,coronal,bilabial,unrounded,posterior,laminal,front,hiɡh,NA,oral stop,voiced,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,not constricted
ɸʲ,consonant,labial,dorsal,coronal,bilabial,unrounded,posterior,laminal,front,hiɡh,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
βʲ,consonant,labial,dorsal,coronal,bilabial,unrounded,posterior,laminal,front,hiɡh,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,not spread,not constricted
fʲ,consonant,labial,dorsal,coronal,labiodental,unrounded,posterior,laminal,front,hiɡh,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,strident,not spread,not constricted
