﻿rule,name,family
"[obstruent,voiced]>[voiceless]/_#",word-final obstruent devoicing,consonant devoicing
"[voiceless,oral stop,not spread]>[spread]/#_",word-initial aspiration of voiceless stops,aspiration
"[not spread,fricative,voiceless]>[voiced]/[vowel]_[vowel]",intervocalic fricative voicing,lenition
"[vowel,tense]>[lax]/_[consonant]#&_[consonant][consonant]",vowel laxing in closed syllables,vowel tenseness
"<<PREDEFINED>>{'k':'t͡ʃ','g':'d͡ʒ'}/_[front,vowel]",palatal mutation of velar stops to postalveolar affricates before front vowels,palatalization
,,
"[consonant,voiced]>[voiceless]/_#",word-final stop devoicing,consonant devoicing
"[oral stop,voiced]>[voiceless]/_#",word-final consonant devoicing,consonant devoicing
"[obstruent,voiced]>[voiceless]/_#&_[voiceless,consonant]&_[sonorant,consonant]",obstruent devoicing in codas,consonant devoicing
"[obstruent,voiced]>[voiceless]/_#&_[voiceless,consonant]&_[sonorant,consonant]",obstruent devoicing in codas,consonant devoicing
,,
"[voiceless,oral stop,not spread]>[spread]/_[vowel]",aspiration of voiceless stops in onsets,aspiration
"[voiceless,oral stop,not spread]>[spread]/_[consonant]&_#",aspiration of voiceless stops in codas,aspiration
"[voiceless,oral stop,not spread]>[spread]/_#",word-final aspiration of voiceless stops,aspiration
,,
"[not spread,fricative,voiceless]>[voiced]/[vowel]_[vowel]",intervocalic fricative voicing,lenition
"[not spread,obstruent,voiceless]>[voiced]/[vowel]_[vowel]",intervocalic obstruent voicing,lenition
"[voiced,oral stop]>[fricative,continuant,(stridency)]/[vowel]_[vowel]",intervocalic spirantization of voiced stops,lenition
"[voiced,oral stop]>[fricative,continuant,(stridency)]/[vowel]_",postvocalic spirantization of voiced stops,lenition
"[voiceless,oral stop]>[fricative,continuant,(stridency)]/_#&_[consonant][consonant]",spirantization of voiceless stops in codas,lenition
,,
"[high,vowel,tense]>[lax]/_[consonant]#&_[consonant][consonant]",high vowel laxing in closed syllables,vowel tenseness
"[mid,vowel,tense]>[lax]/_[consonant]#&_[consonant][consonant]",mid vowel laxing in closed syllables,vowel tenseness
,,
"[velar,oral stop]>[coronal,postalveolar,affricate,posterior,laminal,strident,(backness),(height)]/_[front,vowel]",palatal mutation of velar stops to postalveolar affricates before front vowels,palatalization
